Total_visa,c_withdraw,certified,company,denied,job_location,job_name,number_j_location,number_j_name,salary,withdraw,year
2373,114,204,Ericsson Inc.,1,"Plano,TX,San JoseCA,Bellevue,WA,Santa ClaraCA,Atlanta,GA","Engineer  Services Software,Engineer  Software,Engineer  Services Rf,EngineerSoftware,EngineerServices Software","630,217,171,95,83","301,198,116,93,90","$115,516",0,2018
2373,282,236,Ericsson Inc.,1,"Plano,TX,San JoseCA,Bellevue,WA,Santa ClaraCA,Atlanta,GA","Engineer  Services Software,Engineer  Software,Engineer  Services Rf,EngineerSoftware,EngineerServices Software","630,217,171,95,83","301,198,116,93,90","$112,853",4,2017
2373,294,375,Ericsson Inc.,1,"Plano,TX,San JoseCA,Bellevue,WA,Santa ClaraCA,Atlanta,GA","Engineer  Services Software,Engineer  Software,Engineer  Services Rf,EngineerSoftware,EngineerServices Software","630,217,171,95,83","301,198,116,93,90","$109,226",20,2016
1180,0,36,Tesla ,1,"Fremont,CA,Palo AltoCA,Sparks,NV,Hawthorne,CA,San MateoCA","Global Supply Manager,Firmware Engineer,Mechanical Design Engineer,Controls Engineer,Software Engineer","449,275,66,14,13","27,16,16,14,13","$117,835",1,2018
1180,0,3,Tesla ,0,"Fremont,CA,Palo AltoCA,Sparks,NV,Hawthorne,CA,San MateoCA","Global Supply Manager,Firmware Engineer,Mechanical Design Engineer,Controls Engineer,Software Engineer","449,275,66,14,13","27,16,16,14,13","$98,497",0,2017
1180,0,0,Tesla ,0,"Fremont,CA,Palo AltoCA,Sparks,NV,Hawthorne,CA,San MateoCA","Global Supply Manager,Firmware Engineer,Mechanical Design Engineer,Controls Engineer,Software Engineer","449,275,66,14,13","27,16,16,14,13",-,0,2016
13058,2,1122,Intel Corporation,3,"Hillsboro,OR,Santa ClaraCA,Folsom,CA,Chandler,AZ,San JoseCA","Component Design Engineer,Software Engineer,Process Engineer,Product Engineer,Graphics Hardware Engineer","1142,1056,691,513,253","780,718,231,221,192","$120,616",3,2018
13058,8,1526,Intel Corporation,5,"Hillsboro,OR,Santa ClaraCA,Folsom,CA,Chandler,AZ,San JoseCA","Component Design Engineer,Software Engineer,Process Engineer,Product Engineer,Graphics Hardware Engineer","1142,1056,691,513,253","780,718,231,221,192","$115,803",4,2017
13058,7,1589,Intel Corporation,1,"Hillsboro,OR,Santa ClaraCA,Folsom,CA,Chandler,AZ,San JoseCA","Component Design Engineer,Software Engineer,Process Engineer,Product Engineer,Graphics Hardware Engineer","1142,1056,691,513,253","780,718,231,221,192","$107,428",50,2016
7493,0,1631,Deloitte & Touche Llp,23,"New YorkNY,Chicago,IL,Philadelphia,PA,San FranciscoCA,Houston,TX","Advisory Consultant,Advisory Senior Consultant,Advisory Manager,Audit Assistant,Audit Senior","736,420,333,255,225","1061,995,456,377,193","$85,254",9,2018
7493,4,1550,Deloitte & Touche Llp,18,"New YorkNY,Chicago,IL,Philadelphia,PA,San FranciscoCA,Houston,TX","Advisory Consultant,Advisory Senior Consultant,Advisory Manager,Audit Assistant,Audit Senior","736,420,333,255,225","1061,995,456,377,193","$77,188",7,2017
7493,1,1621,Deloitte & Touche Llp,20,"New YorkNY,Chicago,IL,Philadelphia,PA,San FranciscoCA,Houston,TX","Advisory Consultant,Advisory Senior Consultant,Advisory Manager,Audit Assistant,Audit Senior","736,420,333,255,225","1061,995,456,377,193","$75,704",4,2016
25,6,1722,Pricewaterhousecoopers Advisory Services Llc,7,"New YorkNY,Chicago,IL,Dallas,TX,Boston,MA,San JoseCA","Advisory Senior Associate,Advisory Manager,Advisory Associate,Advisory Director,Advisory  Manager","865,653,438,219,218","2085,1270,1033,221,","$123,124",2,2018
25,13,1661,Pricewaterhousecoopers Advisory Services Llc,5,"New YorkNY,Chicago,IL,Dallas,TX,Boston,MA,San JoseCA","Advisory Senior Associate,Advisory Manager,Advisory Associate,Advisory Director,Advisory  Manager","865,653,438,219,218","2085,1270,1033,221,","$116,616",10,2017
25,5,1179,Pricewaterhousecoopers Advisory Services Llc,21,"New YorkNY,Chicago,IL,Dallas,TX,Boston,MA,San JoseCA","Advisory Senior Associate,Advisory Manager,Advisory Associate,Advisory Director,Advisory  Manager","865,653,438,219,218","2085,1270,1033,221,","$118,509",10,2016
11288,103,1814,Apple Inc.,23,"Cupertino,CA,Austin,TX,Culver CityCA,Seattle,WA,Elk GroveCA","Software Engineer Apps,Sw Develop Eng,Asic Design Eng,Software Developer Applications,Sw Develop Eng ","4566,424,42,41,34","407,375,176,112,111","$145,145",24,2018
11288,155,1524,Apple Inc.,17,"Cupertino,CA,Austin,TX,Culver CityCA,Seattle,WA,Elk GroveCA","Software Engineer Apps,Sw Develop Eng,Asic Design Eng,Software Developer Applications,Sw Develop Eng ","4566,424,42,41,34","407,375,176,112,111","$144,658",16,2017
11288,130,1496,Apple Inc.,12,"Cupertino,CA,Austin,TX,Culver CityCA,Seattle,WA,Elk GroveCA","Software Engineer Apps,Sw Develop Eng,Asic Design Eng,Software Developer Applications,Sw Develop Eng ","4566,424,42,41,34","407,375,176,112,111","$141,293",22,2016
12695,249,2443,"Facebook, Inc.",22,"Menlo ParkCA,Seattle,WA,New YorkNY,Redmond,WA,San FranciscoCA","Software Engineer,Data Scientist,Research Scientist,Data Engineer,Product Manager","4271,600,409,86,76","2416,233,211,203,135","$157,584",26,2018
12695,157,1566,"Facebook, Inc.",2,"Menlo ParkCA,Seattle,WA,New YorkNY,Redmond,WA,San FranciscoCA","Software Engineer,Data Scientist,Research Scientist,Data Engineer,Product Manager","4271,600,409,86,76","2416,233,211,203,135","$152,016",13,2017
12695,115,1042,"Facebook, Inc.",3,"Menlo ParkCA,Seattle,WA,New YorkNY,Redmond,WA,San FranciscoCA","Software Engineer,Data Scientist,Research Scientist,Data Engineer,Product Manager","4271,600,409,86,76","2416,233,211,203,135","$145,682",7,2016
4236,0,917,People Tech Group Inc.,3,"Redmond,WA,Bellevue,WA,Warren,MI,Seattle,WA,Conshohocken,PA","Programmer Analyst,Progrmmer Analyst,Software Developer,Software Engineer,Qa Analyst","588,582,514,415,322","1750,448,313,192,169","$96,334",42,2018
4236,278,1383,People Tech Group Inc.,1,"Redmond,WA,Bellevue,WA,Warren,MI,Seattle,WA,Conshohocken,PA","Programmer Analyst,Progrmmer Analyst,Software Developer,Software Engineer,Qa Analyst","588,582,514,415,322","1750,448,313,192,169","$85,961",115,2017
4236,0,367,People Tech Group Inc.,0,"Redmond,WA,Bellevue,WA,Warren,MI,Seattle,WA,Conshohocken,PA","Programmer Analyst,Progrmmer Analyst,Software Developer,Software Engineer,Qa Analyst","588,582,514,415,322","1750,448,313,192,169","$70,305",19,2016
7436,10,992,Ust Global Inc.,2,"Woodland HillsCA,Bentonville,AR,Richmond,VA,Issaquah,WA,Alpharetta,GA","Senior Systems Analyst,Systems Analyst,Senior Software Developer,Test Analyst,Senior Test Analyst","681,655,417,261,234","1176,1081,857,268,258","$81,539",18,2018
7436,29,1714,Ust Global Inc.,9,"Woodland HillsCA,Bentonville,AR,Richmond,VA,Issaquah,WA,Alpharetta,GA","Senior Systems Analyst,Systems Analyst,Senior Software Developer,Test Analyst,Senior Test Analyst","681,655,417,261,234","1176,1081,857,268,258","$71,391",70,2017
7436,8,2963,Ust Global Inc.,11,"Woodland HillsCA,Bentonville,AR,Richmond,VA,Issaquah,WA,Alpharetta,GA","Senior Systems Analyst,Systems Analyst,Senior Software Developer,Test Analyst,Senior Test Analyst","681,655,417,261,234","1176,1081,857,268,258","$69,819",188,2016
9173,97,1757,Jpmorgan Chase & Co.,19,"New YorkNY,Jersey CityNJ,Columbus,OH,Wilmington,DE,Newark,DE","Applications Developer,Associate,Application Developer,Associate Software Engineering,Analyst","1756,841,663,511,282","286,277,181,177,170","$118,965",49,2018
9173,146,1632,Jpmorgan Chase & Co.,8,"New YorkNY,Jersey CityNJ,Columbus,OH,Wilmington,DE,Newark,DE","Applications Developer,Associate,Application Developer,Associate Software Engineering,Analyst","1756,841,663,511,282","286,277,181,177,170","$112,634",53,2017
9173,179,1525,Jpmorgan Chase & Co.,14,"New YorkNY,Jersey CityNJ,Columbus,OH,Wilmington,DE,Newark,DE","Applications Developer,Associate,Application Developer,Associate Software Engineering,Analyst","1756,841,663,511,282","286,277,181,177,170","$111,282",47,2016
6876,90,1243,L&T Technology Services Limited,4,"Rockford,IL,Houston,TX,Kokomo,IN,Irvine,CA,Auburn HillsMI","Design Engineer,Software Engineer  Tester,Industrial Designer,Software Developer Applications,Software Developer Systems Software","194,194,116,110,105","950,514,325,266,188","$80,024",113,2018
6876,42,1656,L&T Technology Services Limited,5,"Rockford,IL,Houston,TX,Kokomo,IN,Irvine,CA,Auburn HillsMI","Design Engineer,Software Engineer  Tester,Industrial Designer,Software Developer Applications,Software Developer Systems Software","194,194,116,110,105","950,514,325,266,188","$74,147",139,2017
6876,41,1656,L&T Technology Services Limited,5,"Rockford,IL,Houston,TX,Kokomo,IN,Irvine,CA,Auburn HillsMI","Design Engineer,Software Engineer  Tester,Industrial Designer,Software Developer Applications,Software Developer Systems Software","194,194,116,110,105","950,514,325,266,188","$69,648",151,2016
12233,37,2993,Larsen & Toubro Infotech Limited,7,"Hartford,CT,Tampa,FL,New YorkNY,Hoboken,NJ,Warren,NJ","Computer Systems Engineer,Senior Technical Consultant,It Project Manager,Computer Programmer,Technical Consultant","955,631,522,434,398","2011,1051,912,755,388","$88,039",70,2018
12233,6,1823,Larsen & Toubro Infotech Limited,7,"Hartford,CT,Tampa,FL,New YorkNY,Hoboken,NJ,Warren,NJ","Computer Systems Engineer,Senior Technical Consultant,It Project Manager,Computer Programmer,Technical Consultant","955,631,522,434,398","2011,1051,912,755,388","$80,782",95,2017
12233,9,2971,Larsen & Toubro Infotech Limited,3,"Hartford,CT,Tampa,FL,New YorkNY,Hoboken,NJ,Warren,NJ","Computer Systems Engineer,Senior Technical Consultant,It Project Manager,Computer Programmer,Technical Consultant","955,631,522,434,398","2011,1051,912,755,388","$76,754",109,2016
6,191,12101,Cognizant Technology Solutions U.S. Corporation,1,"Teaneck,NJ,Hartford,CT,Chicago,IL,Irving,TX,Charlotte,NC","Senior Systems Analyst Jc,Manager Jc,Systems Analyst Jc,System Analyst Jc,Senior Manager Jc","720,577,559,474,457","c608664,c503595,c652262,c651614,c451072","$82,388",781,2018
6,271,2364,Cognizant Technology Solutions U.S. Corporation,3,"Teaneck,NJ,Hartford,CT,Chicago,IL,Irving,TX,Charlotte,NC","Senior Systems Analyst Jc,Manager Jc,Systems Analyst Jc,System Analyst Jc,Senior Manager Jc","720,577,559,474,457","c608664,c503595,c652262,c651614,c451072","$77,754",69,2017
6,660,4047,Cognizant Technology Solutions U.S. Corporation,9,"Teaneck,NJ,Hartford,CT,Chicago,IL,Irving,TX,Charlotte,NC","Senior Systems Analyst Jc,Manager Jc,Systems Analyst Jc,System Analyst Jc,Senior Manager Jc","720,577,559,474,457","c608664,c503595,c652262,c651614,c451072","$74,628",654,2016
6044,5,0,Syntel Consulting Inc.,0,"Phoenix,AZ,Collierville,TN,Louisville,KY,New YorkNY,Northbrook,IL","Programmer Analyst,Project Manager,Business Development Manager,Prjoect Manager,Business Development Analysts","1038,522,413,275,257","5123,908,,,","$63,250",0,2018
6044,182,3967,Syntel Consulting Inc.,2,"Phoenix,AZ,Collierville,TN,Louisville,KY,New YorkNY,Northbrook,IL","Programmer Analyst,Project Manager,Business Development Manager,Prjoect Manager,Business Development Analysts","1038,522,413,275,257","5123,908,,,","$69,493",36,2017
6044,129,1692,Syntel Consulting Inc.,0,"Phoenix,AZ,Collierville,TN,Louisville,KY,New YorkNY,Northbrook,IL","Programmer Analyst,Project Manager,Business Development Manager,Prjoect Manager,Business Development Analysts","1038,522,413,275,257","5123,908,,,","$71,337",26,2016
17541,42,2478,"Hcl America, Inc.",3,"San AntonioTX,Redmond,WA,San JoseCA,Bothell,WA,Cary,NC","Programmer Analyst  Ii,Project Manager  Iii,Project Manager  Iv,System Architect  Iii,Systems Analyst  Ii","576,492,351,308,300","2317,1342,783,741,703","$84,758",8,2018
17541,7,4238,"Hcl America, Inc.",8,"San AntonioTX,Redmond,WA,San JoseCA,Bothell,WA,Cary,NC","Programmer Analyst  Ii,Project Manager  Iii,Project Manager  Iv,System Architect  Iii,Systems Analyst  Ii","576,492,351,308,300","2317,1342,783,741,703","$84,923",10,2017
17541,1,4917,"Hcl America, Inc.",7,"San AntonioTX,Redmond,WA,San JoseCA,Bothell,WA,Cary,NC","Programmer Analyst  Ii,Project Manager  Iii,Project Manager  Iv,System Architect  Iii,Systems Analyst  Ii","576,492,351,308,300","2317,1342,783,741,703","$137,568",6,2016
1784,0,1,Amazon Corporate,0,"Seattle,WA,New YorkNY,Sunnyvale,CA,East Palo AltoCA,Cambridge,MA","Software Development Engineer Ii,Software Development Engineer I,Senior Product Manager,Technical Program Manager,Software Development Manager","3555,109,103,69,66","959,611,193,133,126","$120,000",0,2018
1784,0,17,Amazon Corporate,0,"Seattle,WA,New YorkNY,Sunnyvale,CA,East Palo AltoCA,Cambridge,MA","Software Development Engineer Ii,Software Development Engineer I,Senior Product Manager,Technical Program Manager,Software Development Manager","3555,109,103,69,66","959,611,193,133,126","$133,854",7,2017
1784,0,0,Amazon Corporate,0,"Seattle,WA,New YorkNY,Sunnyvale,CA,East Palo AltoCA,Cambridge,MA","Software Development Engineer Ii,Software Development Engineer I,Senior Product Manager,Technical Program Manager,Software Development Manager","3555,109,103,69,66","959,611,193,133,126",-,0,2016
7548,0,0,Microsoft,0,,,,,-,0,2018
7548,0,0,Microsoft,0,,,,,-,0,2017
7548,0,0,Microsoft,0,,,,,-,0,2016
31589,1526,4875,Google Inc.,133,"Mountain ViewCA,Sunnyvale,CA,New YorkNY,Kirkland,WA,San BrunoCA","Software Engineer,Product Manager,Software Engineer Tools And Infrastructure,Program Manager,Hardware Engineer","10901,1519,1370,571,561","4503,120,118,87,77","$139,386",123,2018
31589,1464,3576,Google Inc.,56,"Mountain ViewCA,Sunnyvale,CA,New YorkNY,Kirkland,WA,San BrunoCA","Software Engineer,Product Manager,Software Engineer Tools And Infrastructure,Program Manager,Hardware Engineer","10901,1519,1370,571,561","4503,120,118,87,77","$132,890",192,2017
31589,1459,3243,Google Inc.,43,"Mountain ViewCA,Sunnyvale,CA,New YorkNY,Kirkland,WA,San BrunoCA","Software Engineer,Product Manager,Software Engineer Tools And Infrastructure,Program Manager,Hardware Engineer","10901,1519,1370,571,561","4503,120,118,87,77","$129,997",152,2016
30064,146,6088,Wipro Limited,13,"Sunnyvale,CA,San JoseCA,Houston,TX,Austin,TX,Richmond,VA","Lead Engineer,Programmer Analyst,Consultant,Project Manager,Architect Level ","922,675,619,571,545","6341,2793,2499,2134,1532","$76,203",59,2018
30064,779,4919,Wipro Limited,24,"Sunnyvale,CA,San JoseCA,Houston,TX,Austin,TX,Richmond,VA","Lead Engineer,Programmer Analyst,Consultant,Project Manager,Architect Level ","922,675,619,571,545","6341,2793,2499,2134,1532","$74,922",90,2017
30064,876,9528,Wipro Limited,58,"Sunnyvale,CA,San JoseCA,Houston,TX,Austin,TX,Richmond,VA","Lead Engineer,Programmer Analyst,Consultant,Project Manager,Architect Level ","922,675,619,571,545","6341,2793,2499,2134,1532","$72,719",145,2016
26126,0,6838,Ernst & Young U.S. Llp,56,"New YorkNY,Los AngelesCA,Chicago,IL,San FranciscoCA,Houston,TX","Advisory Senior,Advisory Manager,Advisory Staff,Computer Systems Analysts,Accountants And Auditors","2811,1611,1255,955,797","3311,1879,1375,1363,1178","$116,756",0,2018
26126,0,6036,Ernst & Young U.S. Llp,90,"New YorkNY,Los AngelesCA,Chicago,IL,San FranciscoCA,Houston,TX","Advisory Senior,Advisory Manager,Advisory Staff,Computer Systems Analysts,Accountants And Auditors","2811,1611,1255,955,797","3311,1879,1375,1363,1178","$103,305",5,2017
26126,0,4579,Ernst & Young U.S. Llp,47,"New YorkNY,Los AngelesCA,Chicago,IL,San FranciscoCA,Houston,TX","Advisory Senior,Advisory Manager,Advisory Staff,Computer Systems Analysts,Accountants And Auditors","2811,1611,1255,955,797","3311,1879,1375,1363,1178","$159,400",0,2016
29824,118,6127,Accenture Llp,4,"Atlanta,GA,Houston,TX,Chicago,IL,Hartford,CT,Charlotte,NC","Computer ProgrammerConfigurer ,Computer Systems Analyst ,Computer SpecialistTesting And Quality Analyst ,Computer Systems Analyst ,Computer SpecialistSystem Support And Development Admin ","904,864,716,604,589","3326,3231,2213,1758,1573","$91,315",132,2018
